Transaction_ID,Date,Store_Location,Department,Product_Name,Quantity_Sold,Unit_Price,Total_Sales,Discount_Percentage,Discounted_Sales,Customer_Segment,Inventory_Level,Restock_Days
WLMRT-00033,11/13/2023,"Seattle, WA",Home Improvement,Tool Sets,4,21.91,87.64,0,87.64,DIY Homeowner,181,34
WLMRT-00034,2/15/2023,"Los Angeles, CA",Lighting,Light Fixtures,3,376.38,1129.14,15,959.77,DIY Homeowner,311,37
WLMRT-00035,4/26/2023,"Phoenix, AZ",Building Materials,Lumber,5,103.55,517.75,0,517.75,DIY Homeowner,137,24
WLMRT-00036,8/11/2023,"New York, NY",Home Improvement,Hand Tools,3,289.33,867.99,0,867.99,Property Manager,440,28
WLMRT-00037,5/7/2023,"Dallas, TX",Paint,Exterior Paint,2,168.05,336.1,5,319.3,Property Manager,308,35
WLMRT-00038,1/26/2023,"Dallas, TX",Appliances,Washers,9,309.64,2786.76,0,2786.76,Property Manager,322,42
WLMRT-00039,11/17/2023,"Seattle, WA",Garden Center,Landscaping Supplies,3,175.62,526.86,0,526.86,Property Manager,297,29
WLMRT-00040,2/20/2023,"Atlanta, GA",Paint,Exterior Paint,6,299.51,1797.06,0,1797.06,Professional Contractor,179,12
WLMRT-00041,4/11/2023,"Atlanta, GA",Paint,Paint Supplies,5,143.06,715.3,5,679.54,Property Manager,205,12
WLMRT-00042,12/16/2023,"Phoenix, AZ",Garden Center,Outdoor Furniture,7,77.79,544.53,20,435.62,Property Manager,133,36
WLMRT-00043,4/30/2023,"Phoenix, AZ",Building Materials,Insulation,7,132.92,930.44,20,744.35,Professional Contractor,288,15
WLMRT-00044,5/9/2023,"Chicago, IL",Flooring,Laminate,1,226.75,226.75,0,226.75,Property Manager,57,31
WLMRT-00045,9/29/2023,"Los Angeles, CA",Plumbing,Shower Systems,5,309.74,1548.7,0,1548.7,Renovation Enthusiast,163,22
WLMRT-00046,3/27/2023,"Atlanta, GA",Building Materials,Lumber,5,56.14,280.7,10,252.63,Professional Contractor,462,18
WLMRT-00047,12/7/2023,"Phoenix, AZ",Plumbing,Toilets,1,237.69,237.69,0,237.69,DIY Homeowner,19,11
WLMRT-00048,6/29/2023,"Phoenix, AZ",Flooring,Laminate,3,256.54,769.62,0,769.62,DIY Homeowner,13,22
WLMRT-00049,9/4/2023,"Chicago, IL",Plumbing,Pipes,4,291.98,1167.92,0,1167.92,Professional Contractor,42,39
WLMRT-00050,4/11/2023,"Houston, TX",Garden Center,Outdoor Furniture,1,480.98,480.98,0,480.98,Professional Contractor,294,19
WLMRT-00051,10/29/2023,"Chicago, IL",Flooring,Hardwood,3,312.94,938.82,0,938.82,Renovation Enthusiast,273,35
WLMRT-00052,3/31/2023,"New York, NY",Appliances,Washers,3,148.11,444.33,5,422.11,Property Manager,123,17
WLMRT-00053,8/5/2023,"Los Angeles, CA",Garden Center,Plants,9,278.51,2506.59,5,2381.26,DIY Homeowner,201,41
WLMRT-00054,2/5/2023,"Chicago, IL",Home Improvement,Power Tools,7,294.47,2061.29,15,1752.1,Renovation Enthusiast,46,18
WLMRT-00055,1/13/2023,"Phoenix, AZ",Home Improvement,Power Tools,3,60.53,181.59,0,181.59,DIY Homeowner,93,31
WLMRT-00056,7/6/2023,"Dallas, TX",Lighting,Ceiling Fans,4,15.31,61.24,10,55.12,DIY Homeowner,274,13
WLMRT-00057,8/11/2023,"Seattle, WA",Flooring,Carpet,3,251.58,754.74,0,754.74,Property Manager,108,18
WLMRT-00058,2/22/2023,"Phoenix, AZ",Home Improvement,Workbenches,9,65.6,590.4,0,590.4,DIY Homeowner,432,20
WLMRT-00059,5/13/2023,"Dallas, TX",Paint,Primers,2,484.64,969.28,5,920.82,DIY Homeowner,410,44
WLMRT-00060,5/21/2023,"Seattle, WA",Paint,Exterior Paint,9,412.71,3714.39,0,3714.39,Professional Contractor,38,43
WLMRT-00061,5/16/2023,"Seattle, WA",Lighting,Ceiling Fans,1,441.38,441.38,15,375.17,DIY Homeowner,226,10
WLMRT-00062,9/9/2023,"Phoenix, AZ",Flooring,Tile,6,355.49,2132.94,15,1813,Professional Contractor,48,9
WLMRT-00063,8/30/2023,"Houston, TX",Garden Center,Gardening Tools,4,68.22,272.88,10,245.59,DIY Homeowner,432,7
WLMRT-00064,12/14/2023,"New York, NY",Building Materials,Lumber,1,50.62,50.62,0,50.62,DIY Homeowner,143,38
WLMRT-00065,10/30/2023,"Los Angeles, CA",Garden Center,Landscaping Supplies,6,463.08,2778.48,0,2778.48,Property Manager,236,25
WLMRT-00066,2/16/2023,"Atlanta, GA",Flooring,Hardwood,1,317.5,317.5,0,317.5,Professional Contractor,480,17
WLMRT-00067,8/12/2023,"Seattle, WA",Flooring,Carpet,6,233.27,1399.62,0,1399.62,Property Manager,131,34
WLMRT-00068,5/16/2023,"Chicago, IL",Flooring,Carpet,2,140.31,280.62,20,224.5,DIY Homeowner,201,33
WLMRT-00069,5/25/2023,"Atlanta, GA",Lighting,Ceiling Fans,5,408.76,2043.8,0,2043.8,Property Manager,406,41
WLMRT-00070,3/23/2023,"Dallas, TX",Garden Center,Landscaping Supplies,5,310.57,1552.85,0,1552.85,Professional Contractor,295,11
WLMRT-00071,10/16/2023,"New York, NY",Paint,Interior Paint,2,493.77,987.54,0,987.54,DIY Homeowner,291,31
WLMRT-00072,10/10/2023,"Atlanta, GA",Lighting,Ceiling Fans,1,239.66,239.66,0,239.66,Renovation Enthusiast,414,12
WLMRT-00073,7/16/2023,"Phoenix, AZ",Flooring,Hardwood,6,457.45,2744.7,5,2607.46,Renovation Enthusiast,174,16
WLMRT-00074,5/25/2023,"Los Angeles, CA",Appliances,Washers,9,73.29,659.61,0,659.61,Renovation Enthusiast,269,7
WLMRT-00075,10/15/2023,"Chicago, IL",Home Improvement,Workbenches,8,20.87,166.96,0,166.96,Professional Contractor,127,9
WLMRT-00076,9/25/2023,"Atlanta, GA",Building Materials,Drywall,5,53.32,266.6,0,266.6,Renovation Enthusiast,121,29
WLMRT-00077,12/7/2023,"New York, NY",Paint,Exterior Paint,3,452.54,1357.62,0,1357.62,Property Manager,303,40
WLMRT-00078,12/1/2023,"Dallas, TX",Appliances,Dryers,2,180.65,361.3,0,361.3,Professional Contractor,344,36
WLMRT-00079,2/20/2023,"Atlanta, GA",Paint,Interior Paint,4,235.08,940.32,0,940.32,DIY Homeowner,349,30
WLMRT-00080,9/19/2023,"Los Angeles, CA",Garden Center,Gardening Tools,3,273.26,819.78,0,819.78,Renovation Enthusiast,104,17
WLMRT-00081,1/8/2023,"Houston, TX",Lighting,Outdoor Lighting,4,179.38,717.52,10,645.77,Renovation Enthusiast,164,35
WLMRT-00082,3/2/2023,"Chicago, IL",Plumbing,Shower Systems,3,412.68,1238.04,0,1238.04,Professional Contractor,326,28
WLMRT-00083,1/1/2023,"Los Angeles, CA",Garden Center,Plants,2,73.09,146.18,5,138.87,Professional Contractor,82,32
WLMRT-00084,5/1/2023,"New York, NY",Home Improvement,Tool Sets,8,438.05,3504.4,0,3504.4,Renovation Enthusiast,346,32
WLMRT-00085,1/8/2023,"Atlanta, GA",Flooring,Tile,4,112.58,450.32,15,382.77,Renovation Enthusiast,23,32
WLMRT-00086,3/19/2023,"Seattle, WA",Flooring,Laminate,8,75.23,601.84,10,541.66,Renovation Enthusiast,247,24
WLMRT-00087,8/15/2023,"Dallas, TX",Appliances,Dryers,9,371.33,3341.97,0,3341.97,Property Manager,450,23
WLMRT-00088,5/6/2023,"Houston, TX",Paint,Interior Paint,1,178.03,178.03,5,169.13,DIY Homeowner,76,24
WLMRT-00089,4/21/2023,"New York, NY",Paint,Exterior Paint,8,297.4,2379.2,0,2379.2,Property Manager,434,43
WLMRT-00090,10/9/2023,"Seattle, WA",Lighting,Light Fixtures,8,254.14,2033.12,5,1931.46,Professional Contractor,298,28
WLMRT-00091,3/11/2023,"Phoenix, AZ",Garden Center,Landscaping Supplies,4,426.9,1707.6,0,1707.6,Professional Contractor,104,30
WLMRT-00092,9/4/2023,"Dallas, TX",Paint,Primers,8,351.51,2812.08,0,2812.08,Property Manager,331,26
WLMRT-00093,1/4/2023,"Phoenix, AZ",Flooring,Laminate,6,136.37,818.22,5,777.31,Property Manager,71,8
WLMRT-00094,1/26/2023,"Dallas, TX",Paint,Interior Paint,5,101.65,508.25,5,482.84,Professional Contractor,221,39
WLMRT-00095,5/20/2023,"Phoenix, AZ",Flooring,Hardwood,6,294.81,1768.86,15,1503.53,Renovation Enthusiast,342,9
WLMRT-00096,6/27/2023,"Seattle, WA",Home Improvement,Hand Tools,5,41.05,205.25,0,205.25,Property Manager,177,8
WLMRT-00097,11/15/2023,"Los Angeles, CA",Flooring,Hardwood,1,67.18,67.18,0,67.18,Renovation Enthusiast,428,36
WLMRT-00098,3/10/2023,"New York, NY",Paint,Paint Supplies,2,70.91,141.82,20,113.46,Property Manager,427,18
WLMRT-00099,1/1/2023,"Seattle, WA",Building Materials,Cement,6,33.57,201.42,0,201.42,DIY Homeowner,370,43
WLMRT-00100,10/13/2023,"Dallas, TX",Lighting,Ceiling Fans,5,409.14,2045.7,5,1943.42,Renovation Enthusiast,71,10
WLMRT-00101,2/11/2023,"Atlanta, GA",Home Improvement,Hand Tools,8,231.45,1851.6,0,1851.6,Property Manager,188,44
WLMRT-00102,3/4/2023,"Phoenix, AZ",Home Improvement,Power Tools,9,184.13,1657.17,0,1657.17,Renovation Enthusiast,471,12
WLMRT-00103,6/28/2023,"Seattle, WA",Lighting,Light Fixtures,4,399.07,1596.28,0,1596.28,DIY Homeowner,487,33
WLMRT-00104,2/7/2023,"Atlanta, GA",Flooring,Hardwood,5,391.5,1957.5,0,1957.5,DIY Homeowner,95,8
WLMRT-00105,5/3/2023,"Chicago, IL",Appliances,Refrigerators,6,412.42,2474.52,0,2474.52,Renovation Enthusiast,374,30
WLMRT-00106,1/15/2023,"Los Angeles, CA",Flooring,Carpet,5,248.32,1241.6,5,1179.52,Property Manager,139,33
WLMRT-00107,8/31/2023,"Houston, TX",Paint,Paint Supplies,5,415.13,2075.65,15,1764.3,Professional Contractor,47,12
WLMRT-00108,10/30/2023,"Chicago, IL",Plumbing,Faucets,8,257.89,2063.12,0,2063.12,DIY Homeowner,113,18
WLMRT-00109,11/20/2023,"Los Angeles, CA",Flooring,Carpet,5,356.55,1782.75,5,1693.61,Professional Contractor,296,15
WLMRT-00110,1/29/2023,"New York, NY",Lighting,Outdoor Lighting,9,463.53,4171.77,0,4171.77,Renovation Enthusiast,110,27
WLMRT-00111,7/1/2023,"Phoenix, AZ",Appliances,Refrigerators,1,436.25,436.25,0,436.25,Renovation Enthusiast,408,27
WLMRT-00112,11/5/2023,"Atlanta, GA",Paint,Exterior Paint,4,396.02,1584.08,0,1584.08,Professional Contractor,72,31
WLMRT-00113,10/21/2023,"Chicago, IL",Appliances,Dryers,2,245.61,491.22,0,491.22,Renovation Enthusiast,436,30
WLMRT-00114,6/29/2023,"New York, NY",Home Improvement,Power Tools,8,162.62,1300.96,0,1300.96,DIY Homeowner,159,32
WLMRT-00115,2/18/2023,"Phoenix, AZ",Flooring,Hardwood,4,234.9,939.6,0,939.6,Property Manager,485,13
WLMRT-00116,5/21/2023,"New York, NY",Home Improvement,Tool Sets,3,112.85,338.55,0,338.55,Renovation Enthusiast,167,35
WLMRT-00117,10/13/2023,"Seattle, WA",Home Improvement,Workbenches,3,42.2,126.6,5,120.27,Professional Contractor,203,34
WLMRT-00118,8/10/2023,"New York, NY",Home Improvement,Tool Sets,4,99.14,396.56,0,396.56,DIY Homeowner,140,38
WLMRT-00119,6/11/2023,"Houston, TX",Appliances,Refrigerators,7,489.68,3427.76,5,3256.37,Property Manager,358,14
WLMRT-00120,9/4/2023,"Dallas, TX",Home Improvement,Workbenches,7,339.23,2374.61,0,2374.61,DIY Homeowner,258,43
WLMRT-00121,4/7/2023,"Houston, TX",Building Materials,Insulation,8,58.73,469.84,20,375.87,Property Manager,297,22
WLMRT-00122,6/14/2023,"New York, NY",Flooring,Hardwood,7,449.2,3144.4,5,2987.18,Renovation Enthusiast,170,29
WLMRT-00123,4/22/2023,"Los Angeles, CA",Garden Center,Outdoor Furniture,4,325.03,1300.12,10,1170.11,Professional Contractor,312,11
WLMRT-00124,8/22/2023,"Phoenix, AZ",Flooring,Laminate,3,299.24,897.72,10,807.95,Property Manager,302,44
WLMRT-00125,8/14/2023,"Los Angeles, CA",Plumbing,Toilets,3,474.74,1424.22,5,1353.01,Professional Contractor,90,16
WLMRT-00126,2/28/2023,"New York, NY",Lighting,Bulbs,1,247.54,247.54,0,247.54,DIY Homeowner,49,8
WLMRT-00127,12/25/2023,"Atlanta, GA",Garden Center,Gardening Tools,6,419.12,2514.72,0,2514.72,Property Manager,38,40
WLMRT-00128,3/16/2023,"New York, NY",Paint,Exterior Paint,5,409.38,2046.9,0,2046.9,DIY Homeowner,26,43
WLMRT-00129,3/17/2023,"Phoenix, AZ",Home Improvement,Power Tools,6,77.07,462.42,0,462.42,DIY Homeowner,228,40
WLMRT-00130,11/5/2023,"Phoenix, AZ",Flooring,Laminate,1,215.2,215.2,5,204.44,Property Manager,55,8
WLMRT-00131,12/29/2023,"Atlanta, GA",Flooring,Tile,5,305.54,1527.7,0,1527.7,Professional Contractor,276,17
WLMRT-00132,4/23/2023,"Dallas, TX",Plumbing,Shower Systems,8,287.54,2300.32,0,2300.32,Professional Contractor,161,28
WLMRT-00133,10/16/2023,"Chicago, IL",Garden Center,Landscaping Supplies,4,89.39,357.56,0,357.56,Property Manager,455,40
WLMRT-00134,3/14/2023,"Atlanta, GA",Home Improvement,Workbenches,1,212.27,212.27,5,201.66,DIY Homeowner,51,31
WLMRT-00135,5/11/2023,"Chicago, IL",Paint,Interior Paint,3,143.35,430.05,0,430.05,Professional Contractor,110,23
WLMRT-00136,11/7/2023,"Atlanta, GA",Appliances,Dryers,8,381.61,3052.88,10,2747.59,Renovation Enthusiast,224,43
WLMRT-00137,7/17/2023,"Seattle, WA",Lighting,Ceiling Fans,2,249.82,499.64,5,474.66,Renovation Enthusiast,498,32
WLMRT-00138,9/23/2023,"Seattle, WA",Paint,Primers,1,98.48,98.48,0,98.48,DIY Homeowner,400,20
WLMRT-00139,1/7/2023,"Atlanta, GA",Paint,Primers,8,485.82,3886.56,5,3692.23,Renovation Enthusiast,232,36
WLMRT-00140,4/13/2023,"Atlanta, GA",Flooring,Laminate,8,122.7,981.6,0,981.6,Property Manager,140,43
WLMRT-00141,7/2/2023,"Phoenix, AZ",Building Materials,Cement,7,164.49,1151.43,0,1151.43,DIY Homeowner,479,31
WLMRT-00142,6/10/2023,"Seattle, WA",Garden Center,Plants,2,21.96,43.92,20,35.14,Professional Contractor,260,19
WLMRT-00143,4/6/2023,"Dallas, TX",Garden Center,Outdoor Furniture,7,14.65,102.55,5,97.42,DIY Homeowner,486,22
WLMRT-00144,8/27/2023,"Atlanta, GA",Plumbing,Faucets,9,174.82,1573.38,5,1494.71,Property Manager,487,9
WLMRT-00145,6/7/2023,"Chicago, IL",Garden Center,Landscaping Supplies,2,124.47,248.94,0,248.94,DIY Homeowner,446,21
WLMRT-00146,11/1/2023,"Atlanta, GA",Home Improvement,Workbenches,4,116.94,467.76,5,444.37,Professional Contractor,494,12
WLMRT-00147,11/15/2023,"New York, NY",Paint,Paint Supplies,2,91.85,183.7,0,183.7,Property Manager,81,26
WLMRT-00148,11/6/2023,"Los Angeles, CA",Garden Center,Outdoor Furniture,2,198.2,396.4,0,396.4,DIY Homeowner,268,12
WLMRT-00149,2/23/2023,"Phoenix, AZ",Garden Center,Outdoor Furniture,1,263.95,263.95,20,211.16,Property Manager,70,41
WLMRT-00150,3/3/2023,"Atlanta, GA",Appliances,Dishwashers,3,409.76,1229.28,5,1167.82,Professional Contractor,390,31
WLMRT-00151,12/23/2023,"Chicago, IL",Home Improvement,Tool Sets,9,201.67,1815.03,0,1815.03,Renovation Enthusiast,146,9
WLMRT-00152,11/28/2023,"Chicago, IL",Home Improvement,Power Tools,8,466.48,3731.84,0,3731.84,Renovation Enthusiast,481,21
WLMRT-00153,9/8/2023,"Los Angeles, CA",Lighting,Outdoor Lighting,2,49.71,99.42,0,99.42,Property Manager,293,11
WLMRT-00154,4/24/2023,"Seattle, WA",Garden Center,Plants,3,414.09,1242.27,5,1180.16,Property Manager,49,33
WLMRT-00155,10/16/2023,"New York, NY",Garden Center,Landscaping Supplies,3,435.4,1306.2,10,1175.58,Property Manager,68,19
WLMRT-00156,12/11/2023,"Los Angeles, CA",Building Materials,Drywall,4,313.12,1252.48,0,1252.48,Professional Contractor,142,37
WLMRT-00157,6/9/2023,"Dallas, TX",Paint,Interior Paint,7,88.77,621.39,0,621.39,Property Manager,86,35
WLMRT-00158,8/12/2023,"Los Angeles, CA",Flooring,Laminate,1,284.32,284.32,0,284.32,Property Manager,197,30
WLMRT-00159,11/22/2023,"Dallas, TX",Garden Center,Gardening Tools,7,275.22,1926.54,10,1733.89,Property Manager,421,21
WLMRT-00160,10/5/2023,"Houston, TX",Lighting,Outdoor Lighting,4,43.24,172.96,0,172.96,Renovation Enthusiast,21,28
WLMRT-00161,7/12/2023,"New York, NY",Home Improvement,Hand Tools,8,32.41,259.28,20,207.42,Professional Contractor,184,35
WLMRT-00162,9/8/2023,"Dallas, TX",Flooring,Carpet,7,42.16,295.12,0,295.12,DIY Homeowner,88,38
WLMRT-00163,2/27/2023,"Phoenix, AZ",Building Materials,Drywall,2,144.08,288.16,15,244.94,DIY Homeowner,108,19
WLMRT-00164,9/28/2023,"Phoenix, AZ",Home Improvement,Power Tools,4,421.57,1686.28,5,1601.97,Renovation Enthusiast,31,17
WLMRT-00165,12/3/2023,"New York, NY",Building Materials,Cement,8,221.84,1774.72,15,1508.51,DIY Homeowner,366,26
WLMRT-00166,9/14/2023,"Chicago, IL",Lighting,Outdoor Lighting,6,122.68,736.08,0,736.08,DIY Homeowner,290,30
WLMRT-00167,9/28/2023,"Houston, TX",Flooring,Carpet,8,88.03,704.24,10,633.82,DIY Homeowner,318,14
WLMRT-00168,6/23/2023,"Chicago, IL",Paint,Paint Supplies,7,316.85,2217.95,0,2217.95,Property Manager,33,9
WLMRT-00169,1/15/2023,"Atlanta, GA",Flooring,Laminate,7,71.34,499.38,0,499.38,Property Manager,18,44
WLMRT-00170,11/15/2023,"New York, NY",Plumbing,Faucets,5,141.81,709.05,0,709.05,Property Manager,73,19
WLMRT-00171,10/4/2023,"Chicago, IL",Home Improvement,Hand Tools,2,245.17,490.34,5,465.82,Renovation Enthusiast,20,31
WLMRT-00172,4/12/2023,"Atlanta, GA",Home Improvement,Workbenches,6,377.09,2262.54,0,2262.54,DIY Homeowner,386,38
WLMRT-00173,11/6/2023,"New York, NY",Paint,Paint Supplies,4,179.55,718.2,0,718.2,Property Manager,362,8
WLMRT-00174,8/21/2023,"Los Angeles, CA",Home Improvement,Hand Tools,1,414.01,414.01,0,414.01,Professional Contractor,203,44
WLMRT-00175,6/23/2023,"Chicago, IL",Paint,Exterior Paint,2,30.18,60.36,0,60.36,Property Manager,468,9
WLMRT-00176,1/9/2023,"New York, NY",Building Materials,Lumber,7,310.34,2172.38,5,2063.76,DIY Homeowner,273,14
WLMRT-00177,11/14/2023,"Houston, TX",Appliances,Washers,7,333.8,2336.6,0,2336.6,Property Manager,323,28
WLMRT-00178,1/3/2023,"Phoenix, AZ",Appliances,Refrigerators,2,39.57,79.14,5,75.18,Renovation Enthusiast,34,25
WLMRT-00179,12/22/2023,"Los Angeles, CA",Paint,Paint Supplies,7,222.49,1557.43,0,1557.43,Property Manager,91,12
WLMRT-00180,5/30/2023,"Los Angeles, CA",Appliances,Dishwashers,8,487.65,3901.2,0,3901.2,Renovation Enthusiast,252,41
WLMRT-00181,7/26/2023,"Atlanta, GA",Garden Center,Outdoor Furniture,1,435.45,435.45,0,435.45,Renovation Enthusiast,33,26
WLMRT-00182,8/8/2023,"Houston, TX",Garden Center,Gardening Tools,4,257.37,1029.48,10,926.53,Professional Contractor,105,42
WLMRT-00183,12/20/2023,"Seattle, WA",Appliances,Dishwashers,2,302.88,605.76,0,605.76,Property Manager,435,18
WLMRT-00184,1/18/2023,"Seattle, WA",Building Materials,Lumber,1,74.47,74.47,0,74.47,Property Manager,487,29
WLMRT-00185,1/14/2023,"New York, NY",Appliances,Washers,7,212.39,1486.73,0,1486.73,Professional Contractor,327,20
WLMRT-00186,3/25/2023,"Chicago, IL",Plumbing,Shower Systems,6,329.54,1977.24,20,1581.79,DIY Homeowner,75,41
WLMRT-00187,6/13/2023,"Los Angeles, CA",Garden Center,Outdoor Furniture,3,226.59,679.77,0,679.77,Property Manager,275,18
WLMRT-00188,9/14/2023,"Los Angeles, CA",Lighting,Outdoor Lighting,8,312.4,2499.2,0,2499.2,DIY Homeowner,383,26
WLMRT-00189,4/17/2023,"Los Angeles, CA",Flooring,Tile,5,271.42,1357.1,10,1221.39,DIY Homeowner,53,34
WLMRT-00190,4/18/2023,"Dallas, TX",Paint,Interior Paint,4,142.18,568.72,0,568.72,Professional Contractor,302,26
WLMRT-00191,1/1/2023,"Phoenix, AZ",Appliances,Dryers,6,98.21,589.26,0,589.26,Renovation Enthusiast,188,20
WLMRT-00192,10/3/2023,"Los Angeles, CA",Flooring,Laminate,8,346.12,2768.96,20,2215.17,Professional Contractor,315,35
WLMRT-00193,8/11/2023,"Seattle, WA",Home Improvement,Tool Sets,2,177.9,355.8,0,355.8,Professional Contractor,393,22
WLMRT-00194,1/8/2023,"Chicago, IL",Appliances,Refrigerators,1,368.11,368.11,0,368.11,DIY Homeowner,14,28
WLMRT-00195,7/12/2023,"Phoenix, AZ",Paint,Primers,2,129.63,259.26,10,233.33,Professional Contractor,241,18
WLMRT-00196,12/11/2023,"New York, NY",Building Materials,Cement,1,304.3,304.3,5,289.08,Renovation Enthusiast,62,11
WLMRT-00197,8/8/2023,"Chicago, IL",Home Improvement,Hand Tools,6,165.87,995.22,0,995.22,DIY Homeowner,185,19
WLMRT-00198,3/18/2023,"Phoenix, AZ",Home Improvement,Power Tools,4,328.75,1315,0,1315,Professional Contractor,111,25
WLMRT-00199,3/23/2023,"Los Angeles, CA",Lighting,Ceiling Fans,7,223.44,1564.08,0,1564.08,Renovation Enthusiast,319,13
WLMRT-00200,5/23/2023,"Atlanta, GA",Home Improvement,Workbenches,7,286.09,2002.63,0,2002.63,Renovation Enthusiast,482,39
WLMRT-00201,10/18/2023,"Houston, TX",Home Improvement,Hand Tools,3,92.54,277.62,5,263.74,Professional Contractor,439,15
WLMRT-00202,10/9/2023,"Seattle, WA",Building Materials,Cement,2,244.8,489.6,10,440.64,DIY Homeowner,162,18
WLMRT-00203,10/31/2023,"Los Angeles, CA",Garden Center,Outdoor Furniture,4,307.87,1231.48,0,1231.48,Property Manager,311,27
WLMRT-00204,12/2/2023,"Phoenix, AZ",Paint,Interior Paint,9,330.8,2977.2,0,2977.2,Renovation Enthusiast,286,19
WLMRT-00205,10/17/2023,"New York, NY",Lighting,Ceiling Fans,4,135.82,543.28,5,516.12,Property Manager,166,34
WLMRT-00206,5/24/2023,"Chicago, IL",Building Materials,Cement,2,205.95,411.9,0,411.9,DIY Homeowner,354,36
WLMRT-00207,12/17/2023,"Houston, TX",Building Materials,Drywall,7,267.33,1871.31,0,1871.31,Renovation Enthusiast,250,42
